epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1239.94,1.23701,0.69124,1.23753,0.87389,0.87496,0.90464,0.51822,1.38147,0.72907,1.39361,0.000627292,0.000627292,0.000627292
65,1258.72,1.23768,0.70626,1.21424,0.90054,0.84929,0.90075,0.54419,1.36289,0.73046,1.37129,0.000610789,0.000610789,0.000610789
66,1277.65,1.22934,0.70393,1.22161,0.88953,0.87078,0.89813,0.55133,1.34179,0.71923,1.36609,0.000594286,0.000594286,0.000594286
67,1297.56,1.21498,0.68817,1.21416,0.88503,0.86928,0.90914,0.54028,1.40414,0.71741,1.40291,0.000577782,0.000577782,0.000577782
68,1317.84,1.21425,0.68491,1.20732,0.8471,0.87561,0.90001,0.5091,1.47357,0.76105,1.46516,0.000561279,0.000561279,0.000561279
69,1337.21,1.17848,0.69075,1.18395,0.86364,0.88958,0.91054,0.51538,1.46392,0.73012,1.42794,0.000544776,0.000544776,0.000544776
70,1356.53,1.18959,0.67289,1.19991,0.88058,0.8799,0.90134,0.53394,1.34889,0.70327,1.35882,0.000528272,0.000528272,0.000528272
71,1375.48,1.20017,0.67119,1.20495,0.87022,0.88763,0.90764,0.57001,1.30127,0.69321,1.33793,0.000511769,0.000511769,0.000511769
72,1395.04,1.19808,0.66785,1.21135,0.85039,0.893,0.89416,0.56078,1.2385,0.68126,1.29744,0.000495266,0.000495266,0.000495266
73,1414.57,1.2051,0.66707,1.20359,0.88812,0.86413,0.90521,0.5,1.5148,0.74628,1.49349,0.000478762,0.000478762,0.000478762
74,1433.32,1.1825,0.64699,1.20475,0.88905,0.8721,0.89972,0.56082,1.29666,0.68359,1.35193,0.000462259,0.000462259,0.000462259
75,1453.22,1.18444,0.64133,1.18757,0.89551,0.86382,0.9052,0.52374,1.45525,0.71792,1.45202,0.000445756,0.000445756,0.000445756
76,1473.81,1.1855,0.6592,1.20087,0.88282,0.88473,0.90409,0.55822,1.33747,0.69337,1.35815,0.000429253,0.000429253,0.000429253
77,1493.6,1.14787,0.64292,1.19311,0.89833,0.85412,0.9059,0.54588,1.33101,0.6962,1.36855,0.000412749,0.000412749,0.000412749
78,1513.51,1.15653,0.66039,1.17807,0.8602,0.88749,0.90574,0.55947,1.31035,0.706,1.34776,0.000396246,0.000396246,0.000396246
79,1534.09,1.15612,0.62938,1.17167,0.90472,0.86262,0.91435,0.53735,1.3887,0.6941,1.39172,0.000379743,0.000379743,0.000379743
80,1553.29,1.1545,0.62351,1.17937,0.88376,0.87966,0.91366,0.57831,1.25831,0.66995,1.31438,0.000363239,0.000363239,0.000363239
81,1572.65,1.15376,0.62029,1.16772,0.9043,0.85744,0.91287,0.55491,1.34276,0.6763,1.35066,0.000346736,0.000346736,0.000346736
82,1591.19,1.12568,0.6199,1.15492,0.88446,0.86658,0.91065,0.57618,1.26943,0.69031,1.31865,0.000330233,0.000330233,0.000330233
83,1610.16,1.13974,0.60544,1.16257,0.88373,0.8699,0.91314,0.57419,1.26958,0.67224,1.31434,0.000313729,0.000313729,0.000313729
84,1629.07,1.11759,0.60729,1.16423,0.87604,0.86788,0.90945,0.57033,1.27683,0.6918,1.31811,0.000297226,0.000297226,0.000297226
85,1648.09,1.12035,0.59636,1.14319,0.86211,0.89026,0.91144,0.55892,1.33223,0.68351,1.36042,0.000280723,0.000280723,0.000280723
86,1667.83,1.1054,0.60181,1.14382,0.87215,0.87197,0.909,0.56372,1.27714,0.67162,1.33685,0.00026422,0.00026422,0.00026422
